date,time,eventtype,topic,instructor,regtype,register,register_link
"Jun 21 & 28, 2024",11:00AM - 2:00 PM (Eastern),"Cohort 1, TOPST Virtual Cohort","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Dont Use This Code",External (TOPST),Register Now,https://forms.gle/TnEJQmYst3QvfZVp9
"Jul 19 & 26, 2024",11:00 AM - 2:00 PM (Eastern),"Cohort 2, TOPST Virtual Cohort","OS101 Module 1, OS101 Module 2, OS101 Module 3, OS101 Module 4, OS101 Module 5","Cameron Riddell, Dont Use This Code",External (TOPST),Register Now,https://forms.gle/TnEJQmYst3QvfZVp9
"Jun 21, 2024",9:00 AM - 11:00 AM (Central),TOPS Champion Virtual Cohort,OS101 Module 2,"Genevieve Vigil, NASA; Teresa Miller, NASA",External (NASA),Register Now,https://docs.google.com/forms/d/e/1FAIpQLSdFuqK52d247U5vkt-3_SiXPytbDbaSRK_xnEER5LbmRSmESQ/viewform
